term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],specification,bandwidth_m
C(boundary_school_name)[T.COMPASSVALE PRIMARY SCHOOL],0.0956173263662714,0.012290715239513533,7.77963889838326,7.273185124310365e-15,0.0715279671525873,0.11970668557995551,uncontrolled,100
C(boundary_school_name)[T.CONCORD PRIMARY SCHOOL],0.020696946852139297,0.014140332734977732,1.4636817421518682,0.14328092637193515,-0.007017596037829817,0.04841148974210841,uncontrolled,100
C(boundary_school_name)[T.CORPORATION PRIMARY SCHOOL],-0.07502305021404049,0.014127738640983538,-5.310336786412802,1.094228393835234e-07,-0.10271290913336308,-0.0473331912947179,uncontrolled,100
C(boundary_school_name)[T.DAMAI PRIMARY SCHOOL],-0.14614965460510332,0.015246314253672724,-9.585900708421837,9.165439440351607e-22,-0.17603188143928153,-0.11626742777092511,uncontrolled,100
C(boundary_school_name)[T.DAZHONG PRIMARY SCHOOL],0.054594222574227524,0.015380457728665746,3.549583733940249,0.00038584073571377363,0.02444907936030194,0.08473936578815311,uncontrolled,100
C(boundary_school_name)[T.DE LA SALLE SCHOOL],-0.10744996552002908,0.014510189753381794,-7.40513855065103,1.3101361165243298e-13,-0.13588941484549952,-0.07901051619455864,uncontrolled,100
C(boundary_school_name)[T.EAST SPRING PRIMARY SCHOOL],0.025029769022404363,0.014153622624091608,1.768435522634319,0.07698812240662518,-0.002710821571586478,0.0527703596163952,uncontrolled,100
C(boundary_school_name)[T.EDGEFIELD PRIMARY SCHOOL],0.09575246097309503,0.01257687272543716,7.613376000810788,2.670275052794032e-14,0.0711022433930941,0.12040267855309597,uncontrolled,100
C(boundary_school_name)[T.ELIAS PARK PRIMARY SCHOOL],0.12896753983587816,0.015311382263618513,8.42298478448408,3.6701215234695666e-17,0.09895778204566051,0.1589772976260958,uncontrolled,100
C(boundary_school_name)[T.ENDEAVOUR PRIMARY SCHOOL],-0.13420622325297177,0.016680182940939876,-8.045848401552943,8.564996537725518e-16,-0.16689878107275333,-0.10151366543319021,uncontrolled,100
C(boundary_school_name)[T.EVERGREEN PRIMARY SCHOOL],-0.004280173051818603,0.013704241053774567,-0.31232470554359615,0.7547937661655408,-0.031139991952671992,0.022579645849034786,uncontrolled,100
C(boundary_school_name)[T.FAIRFIELD METHODIST SCHOOL (PRIMARY)],-0.06058200093133459,0.025080896367136278,-2.415463946923194,0.01571517818794779,-0.10973965451090317,-0.011424347351766007,uncontrolled,100
C(boundary_school_name)[T.FARRER PARK PRIMARY SCHOOL],0.07666880786122249,0.02528268584658462,3.032462940308199,0.00242566880366591,0.02711565416947606,0.12622196155296891,uncontrolled,100
C(boundary_school_name)[T.FENGSHAN PRIMARY SCHOOL],-0.013992937687956786,0.014916733876454364,-0.9380698083006117,0.34820853632089166,-0.04322919885277589,0.015243323476862317,uncontrolled,100
C(boundary_school_name)[T.FERN GREEN PRIMARY SCHOOL],0.03539139897631138,0.013336328451699584,2.6537587990944465,0.007960070359562702,0.009252675524983378,0.06153012242763939,uncontrolled,100
C(boundary_school_name)[T.FERNVALE PRIMARY SCHOOL],-0.06051734703771644,0.016070701001596972,-3.7656942924706724,0.00016608690985251345,-0.09201534220715828,-0.029019351868274604,uncontrolled,100
C(boundary_school_name)[T.FIRST TOA PAYOH PRIMARY SCHOOL],0.07366370511111234,0.016370946950118623,4.4996606082446915,6.806204038391672e-06,0.041577238696063994,0.10575017152616067,uncontrolled,100
C(boundary_school_name)[T.FRONTIER PRIMARY SCHOOL],0.023136873980765638,0.013048789239978702,1.7731050410316385,0.07621130283602955,-0.0024382829714464024,0.04871203093297768,uncontrolled,100
C(boundary_school_name)[T.FUCHUN PRIMARY SCHOOL],-0.28245825890023885,0.020427812214306524,-13.8271419345837,1.7482991956390532e-43,-0.32249603512322705,-0.24242048267725064,uncontrolled,100
C(boundary_school_name)[T.FUHUA PRIMARY SCHOOL],0.04316589615294247,0.02165352726125854,1.9934810450107516,0.046208797114791096,0.0007257625826194991,0.08560602972326545,uncontrolled,100
C(boundary_school_name)[T.GAN ENG SENG PRIMARY SCHOOL],0.3492197142376181,0.015512250287106151,22.512511581114122,3.1302582800069834e-112,0.3188162623557189,0.3796231661195173,uncontrolled,100
C(boundary_school_name)[T.GEYLANG METHODIST SCHOOL (PRIMARY)],-0.11402869086828743,0.023460780569025067,-4.860396291282733,1.1715100297827594e-06,-0.16001097583277368,-0.06804640590380118,uncontrolled,100
C(boundary_school_name)[T.GONGSHANG PRIMARY SCHOOL],0.12900312186017213,0.013640904204502528,9.457079965240967,3.166625862063018e-21,0.10226744090278617,0.1557388028175581,uncontrolled,100
C(boundary_school_name)[T.GREENDALE PRIMARY SCHOOL],0.03972257494526954,0.012910351964112155,3.0768003115398614,0.0020923541820267494,0.014418750067873767,0.06502639982266531,uncontrolled,100
C(boundary_school_name)[T.GREENRIDGE PRIMARY SCHOOL],-0.07033470841327999,0.015936774276499196,-4.413359139872959,1.0177894825723126e-05,-0.10157021202496279,-0.03909920480159719,uncontrolled,100
