bandwidth_m,specification,n_good,n_non_good,mean_good_premium_pct,mean_non_good_premium_pct,mean_diff_premium_pct,median_good_premium_pct,median_non_good_premium_pct,welch_t_stat,welch_p_value,note
100,controlled,31,136,0.016540303812219187,0.008773549154818469,0.007766754657400718,0.009610119109333182,0.00387037709901894,1.0660876457576027,0.292276286453461,
100,uncontrolled,31,136,-0.04923975202583555,0.004308208366756832,-0.05354796039259238,-0.09569589152560665,-0.0075657665841554755,-0.9485011565472481,0.34915129882951323,
200,controlled,31,139,-0.0008010988153119202,-0.00018091646883607048,-0.0006201823464758497,3.353902990221869e-05,0.0005477427973290538,-0.07981746305683406,0.9365289518402655,
200,uncontrolled,31,139,-0.031782014080930704,-0.011668714020450483,-0.02011330006048022,-0.03267129022006643,-0.018502282627248512,-0.5251125418374926,0.602642636059526,
300,controlled,31,139,-0.0029008817735938328,0.0033740869549484702,-0.0062749687285423034,-0.0036070109387391636,-0.0004333715371410696,-1.1375035614756106,0.26043355435567206,
300,uncontrolled,31,139,-0.033120708651973155,-0.009724217758504128,-0.023396490893469027,-0.013075004058713202,-0.019877682331439828,-0.6443326017407681,0.5233477759263911,
500,controlled,31,139,-0.003430999502419981,-0.0014515130591934752,-0.0019794864432265058,-0.003851400402333227,-0.0037534688929110605,-0.43076907307613593,0.6683797393156324,
500,uncontrolled,31,139,-0.032026553927311255,0.0036858619533266294,-0.035712415880637886,-0.04775654930868267,-0.0004226493975051371,-1.0264812188681034,0.3110929467608018,
