OBJECTID,STATION_NA,EXIT_CODE,INC_CRC,FMEL_UPD_D,STATION_NAME_ENGLISH,lines_present,line_count,lines_present_json,is_tagged
17793,BARTLEY MRT STATION,Exit A,0455856EC60DC1B0,20251202172807,BARTLEY MRT STATION,['Circle Line'],1,"[""Circle Line""]",True
17794,SERANGOON MRT STATION,Exit H,F904CF22F1692BDE,20251202172807,SERANGOON MRT STATION,"['Circle Line', 'North East Line']",2,"[""Circle Line"", ""North East Line""]",True
17795,SERANGOON MRT STATION,Exit A,56E474B40576C822,20251202172807,SERANGOON MRT STATION,"['Circle Line', 'North East Line']",2,"[""Circle Line"", ""North East Line""]",True
17796,SERANGOON MRT STATION,Exit D,AF9B4A2ED6E87545,20251202172807,SERANGOON MRT STATION,"['Circle Line', 'North East Line']",2,"[""Circle Line"", ""North East Line""]",True
17797,SERANGOON MRT STATION,Exit C,29231A6BE44BC0C3,20251202172807,SERANGOON MRT STATION,"['Circle Line', 'North East Line']",2,"[""Circle Line"", ""North East Line""]",True
17798,SERANGOON MRT STATION,Exit F,C1B3F5AC67211832,20251202172807,SERANGOON MRT STATION,"['Circle Line', 'North East Line']",2,"[""Circle Line"", ""North East Line""]",True
17799,LORONG CHUAN MRT STATION,Exit B,F22EC9809EB9F243,20251202172807,LORONG CHUAN MRT STATION,['Circle Line'],1,"[""Circle Line""]",True
17800,LORONG CHUAN MRT STATION,Exit A,28A9382A30C8CE74,20251202172807,LORONG CHUAN MRT STATION,['Circle Line'],1,"[""Circle Line""]",True
17801,BOON KENG MRT STATION,Exit B,437A42A639D5778D,20251202172807,BOON KENG MRT STATION,['North East Line'],1,"[""North East Line""]",True
17802,POTONG PASIR MRT STATION,Exit C,C0620A11315B77FF,20251202172807,POTONG PASIR MRT STATION,['North East Line'],1,"[""North East Line""]",True
17803,POTONG PASIR MRT STATION,Exit B,ADC7223B75A5E175,20251202172807,POTONG PASIR MRT STATION,['North East Line'],1,"[""North East Line""]",True
17804,SOMERSET MRT STATION,Exit A,C073EA14C7AA013E,20251202172807,SOMERSET MRT STATION,['North-South Line'],1,"[""North-South Line""]",True
17805,ONE-NORTH MRT STATION,Exit C,14396AC4C6B421F3,20251202172807,ONE-NORTH MRT STATION,['Circle Line'],1,"[""Circle Line""]",True
17806,BRAS BASAH MRT STATION,Exit B,57B5E4CF560CD25A,20251202172807,BRAS BASAH MRT STATION,['Circle Line'],1,"[""Circle Line""]",True
17807,BRAS BASAH MRT STATION,Exit A,1C26490BD624B606,20251202172807,BRAS BASAH MRT STATION,['Circle Line'],1,"[""Circle Line""]",True
17808,BRAS BASAH MRT STATION,Exit C,9448BEB862765BA4,20251202172807,BRAS BASAH MRT STATION,['Circle Line'],1,"[""Circle Line""]",True
