town,rows,treated_share,reason
BUKIT MERAH,8433,0.0,below_threshold
BUKIT PANJANG,8110,0.0,below_threshold
PASIR RIS,6517,0.0,below_threshold
CENTRAL AREA,1744,0.020068807339449542,below_threshold
MARINE PARADE,1389,1.0,below_threshold
BUKIT TIMAH,486,1.0,below_threshold
