term,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,12.02492536686552,0.10344738742507532,116.24194352491416,0.0,11.82216975490746,12.227680978823582
C(town)[T.BEDOK],-0.013661705426679327,0.001953429205704832,-6.993703885854384,2.6939599012617092e-12,-0.017490402737245024,-0.00983300811611363
C(town)[T.BISHAN],0.16298155967368522,0.0028203188412938137,57.788345518734985,0.0,0.15745376929814242,0.168509350049228
C(town)[T.BUKIT BATOK],-0.12460246069575506,0.00234282608145318,-53.18468224430392,0.0,-0.12919437111205626,-0.12001055027945388
C(town)[T.BUKIT MERAH],0.1677115821714945,0.0022164103379785304,75.66811041156544,0.0,0.16336744506360965,0.17205571927937938
C(town)[T.BUKIT PANJANG],-0.17323230298729816,0.002762002459453974,-62.71982213279593,0.0,-0.17864579396890334,-0.16781881200569299
C(town)[T.BUKIT TIMAH],0.2788988600687553,0.006409444420739669,43.51373407128625,0.0,0.2663364275299975,0.29146129260751313
C(town)[T.CENTRAL AREA],0.08306274284887924,0.004598795916041235,18.061845832111167,8.318754972391865e-73,0.0740491591960053,0.09207632650175318
C(town)[T.CHOA CHU KANG],-0.23074497329737337,0.0026079398343913382,-88.47787447183438,0.0,-0.23585650342136805,-0.2256334431733787
C(town)[T.CLEMENTI],0.05922355522500706,0.0025380649342404064,23.334137131811215,4.196091247367131e-120,0.0542489790492295,0.06419813140078462
C(town)[T.GEYLANG],0.020784234472288228,0.00255284178045867,8.141606985354931,3.9450952133140084e-16,0.015780695858962746,0.02578777308561371
C(town)[T.HOUGANG],-0.09818053099390252,0.0023298163145369496,-42.140889125594384,0.0,-0.10274694242643823,-0.09361411956136681
C(town)[T.JURONG EAST],-0.10167822919080283,0.00253456579251528,-40.11662648137387,0.0,-0.10664594709166919,-0.09671051128993646
C(town)[T.JURONG WEST],-0.21218612105823065,0.0020423683604864798,-103.89218965754503,0.0,-0.2161891380225222,-0.2081831040939391
C(town)[T.KALLANG/WHAMPOA],0.055473430552494984,0.002562064460948306,21.651848108443925,1.0130914844062809e-103,0.050451815598402325,0.060495045506587644
C(town)[T.MARINE PARADE],0.23731464924914447,0.004227935051049619,56.1301548826369,0.0,0.22902794834801846,0.2456013501502705
C(town)[T.PASIR RIS],-0.048875242379802654,0.002672312884217771,-18.289490975570857,1.329408201390459e-74,-0.05411294289278487,-0.04363754186682044
C(town)[T.PUNGGOL],-0.18977284049499865,0.0027461673505851988,-69.10461609506744,0.0,-0.1951552948572263,-0.184390386132771
C(town)[T.QUEENSTOWN],0.1794794783890559,0.0026202111543045517,68.49809722174578,0.0,0.1743438966283745,0.1846150601497373
C(town)[T.SEMBAWANG],-0.26784203316133964,0.0026477576081407645,-101.15806384158266,0.0,-0.27303160563405215,-0.26265246068862713
C(town)[T.SENGKANG],-0.23278198435866054,0.0025495356653327367,-91.30367836147938,0.0,-0.23777904302684436,-0.22778492569047673
C(town)[T.SERANGOON],0.040466171153700214,0.0027774263391747377,14.569664938701493,4.908029390812482e-48,0.03502244955680941,0.04590989275059102
C(town)[T.TAMPINES],-0.03260645095750823,0.0021238586732516686,-15.352457942781626,3.922946947700909e-53,-0.036769187936433585,-0.02844371397858287
C(town)[T.TOA PAYOH],0.04173891592261664,0.0026249017105465116,15.901134794843987,7.310442203235944e-57,0.03659414072916778,0.046883691116065496
C(town)[T.WOODLANDS],-0.2510065412871868,0.0021732385144713567,-115.49884636028756,0.0,-0.25526606214992115,-0.24674702042445248
C(town)[T.YISHUN],-0.1680603386060149,0.0020867112556004156,-80.53837738928495,0.0,-0.17215026710145878,-0.16397041011057104
C(flat_type)[T.2 ROOM],0.08302714936661504,0.014861197192343922,5.586841241120758,2.318374495155948e-08,0.053899384942931464,0.11215491379029861
C(flat_type)[T.3 ROOM],0.21644436658187327,0.014815337857647161,14.609478950907098,2.7415979861608066e-48,0.18740648589234554,0.245482247271401
C(flat_type)[T.4 ROOM],0.2874616574322574,0.015094091511931924,19.044647848134357,1.012723482232372e-80,0.2578774229955073,0.31704589186900745
C(flat_type)[T.5 ROOM],0.31678894931721213,0.015515057653284722,20.418161272519935,1.7837391073732015e-92,0.2863796264009156,0.3471982722335087
C(flat_type)[T.EXECUTIVE],0.2964498520725942,0.016092135274839544,18.422033310650885,1.1681637539789896e-75,0.26490946408816923,0.3279902400570192
C(flat_type)[T.MULTI-GENERATION],0.21023793987170214,0.01123530545265374,18.712258492451102,5.352654998078957e-78,0.18821687883486854,0.23225900090853574
C(flat_model)[T.3Gen],-0.12989439087323046,0.021850926694527775,-5.944571261856848,2.7809799078617822e-09,-0.17272193948588696,-0.08706684226057396
C(flat_model)[T.Adjoined flat],0.04185530140287766,0.011340885665804054,3.6906554422890543,0.00022379581189137872,0.019627304441795036,0.06408329836396029
C(flat_model)[T.Apartment],0.03257135370830297,0.009430168383387167,3.4539525047806046,0.0005526637823596643,0.01408833921143069,0.05105436820517525
C(flat_model)[T.DBSS],0.1350049594719472,0.009043227878801817,14.928846345718172,2.4249805969765736e-50,0.11728034362342539,0.15272957532046902
C(flat_model)[T.Improved],-0.04242142664089134,0.00878436085798495,-4.829198996570186,1.3728595063157392e-06,-0.05963866630014497,-0.025204186981637705
C(flat_model)[T.Improved-Maisonette],0.22351595604845687,0.026402296186699415,8.465777160740158,2.578348216620475e-17,0.17176777899266168,0.2752641331042521
C(flat_model)[T.Maisonette],0.0776758592311875,0.00947681029917055,8.19641385435203,2.505622258937889e-16,0.05910142715081747,0.09625029131155753
C(flat_model)[T.Model A],-0.02279566350736567,0.008710214593138355,-2.61711847206651,0.008868892361179014,-0.03986757739592969,-0.005723749618801649
C(flat_model)[T.Model A-Maisonette],0.09137192377984021,0.011106607141933749,8.226807936229177,1.9455112101268892e-16,0.06960310985525872,0.1131407377044217
C(flat_model)[T.Model A2],-0.016661233941807407,0.009139877956142912,-1.8229164570637828,0.06831903447875484,-0.03457528275780055,0.0012528148741857356
C(flat_model)[T.Multi Generation],0.2102379398720397,0.011235305452651128,18.7122584924855,5.352654994636119e-78,0.1882168788352112,0.2322590009088682
C(flat_model)[T.New Generation],0.0027435616363051113,0.008813740078195421,0.31128234006951166,0.7555866414320362,-0.014531260934618855,0.020018384207229078
C(flat_model)[T.Premium Apartment],-0.006469750089962686,0.0087719445921036,-0.7375502685900088,0.4607895190354455,-0.023662654020207886,0.010723153840282513
C(flat_model)[T.Premium Apartment Loft],0.11882372575868877,0.014620362454430321,8.12727633319941,4.440107848581831e-16,0.09016799447070714,0.1474794570466704
C(flat_model)[T.Premium Maisonette],0.010016017798929466,0.03304162966394275,0.30313328672948653,0.7617889193606948,-0.05474517152986405,0.07477720712772298
C(flat_model)[T.Simplified],0.02127793157210761,0.008908304588469527,2.3885500726646374,0.016916849514576796,0.003817763719612108,0.038738099424603115
C(flat_model)[T.Standard],-0.03671000655876698,0.009004954398090686,-4.076645470470186,4.5725414425555064e-05,-0.05435960685400601,-0.019060406263527948
C(flat_model)[T.Terrace],0.6045558882185685,0.01493668163207194,40.47457816336329,0.0,0.5752801752178225,0.6338316012193146
C(flat_model)[T.Type S1],0.12445937221735862,0.01202928392207988,10.346365837197682,4.47557526327423e-25,0.10088212310794929,0.14803662132676793
C(flat_model)[T.Type S2],0.11039645695328104,0.013729911634172105,8.040580296126414,9.038350462771798e-16,0.08348599836356621,0.13730691554299587
C(month_period)[T.2017-02],-0.0026769948170826396,0.005273708075861339,-0.5076114905441393,0.6117269521643613,-0.0130133980344562,0.007659408400290921
C(month_period)[T.2017-03],-0.0002761520883401078,0.0046607740253197345,-0.05925026333392412,0.9527528941776987,-0.009411212076069451,0.008858907899389236
