bandwidth_m,specification,sample_size,n_good_rows,n_non_good_rows,non_good_cutoff_coef_log_points,non_good_cutoff_std_err,non_good_cutoff_premium_pct,good_school_diff_coef_log_points,good_school_diff_std_err,good_school_diff_p_value,good_school_diff_premium_pct,good_school_diff_sgd_at_local_mean_price,good_school_total_cutoff_premium_pct,local_mean_resale_price,r_squared
100,controlled,224220,35288,188932,0.0025197573476865064,0.0009095095161140559,0.0025229346043103007,0.0034718381238543605,0.0023424651593145734,0.13830568077874356,0.0034778719346175713,1836.5841718753438,0.006009580982381024,528076.9983490768,0.9193861249229096
100,uncontrolled,224220,35288,188932,0.004952767929766733,0.0029523392812161485,0.004965053158438204,-0.039361426766576016,0.007550902665238695,1.8600060137019533e-07,-0.03859683049384477,-20382.098392977663,-0.03382341265055577,528076.9983490768,0.13354452523607385
200,controlled,451243,73316,377927,0.0015912094972648679,0.0006539990555157504,0.0015924761428407486,0.001525396171661411,0.001671625937252349,0.3614937645830604,0.0015265601801843776,809.6008506872942,0.0031214673336927845,530343.2260295894,0.9176465635039396
200,uncontrolled,451243,73316,377927,-0.0008022816613802439,0.002129031875356648,-0.0008019599194963867,-0.028955721672033384,0.0054272942995271575,9.543725451206673e-08,-0.02854052188431011,-15136.27244869312,-0.029319593449173897,530343.2260295894,0.11430034020705682
300,controlled,671678,110042,561636,-0.0004175489035278533,0.0005404974542521772,-0.0004174617421162097,0.003983227534691342,0.001386654610555102,0.004071803015699231,0.00399117112903391,2111.621343328696,0.003572043225665178,529073.1153990454,0.916772367367632
300,uncontrolled,671678,110042,561636,-0.0018429405388142252,0.0017612008869393931,-0.0018412433666553651,-0.027008060212345607,0.0045189242751255574,2.2776310416505498e-09,-0.026646603942340752,-14098.001762578708,-0.02843878442624337,529073.1153990454,0.09902957908540322
500,controlled,1109543,178311,931232,-0.0038351127783174126,0.00042565673844717554,-0.003827768125496789,0.004704715662663018,0.001090630062663591,1.6050163164733224e-05,0.004715800213799248,2487.7012002609067,0.0008699810985579592,527524.7227355947,0.9163210072765462
500,uncontrolled,1109543,178311,931232,-0.007192087664870406,0.0013814610131938122,-0.007166286494195595,-0.028929249561886708,0.0035636917157282895,4.748057755766481e-16,-0.028514804961613294,-15042.264581234613,-0.035476746194127884,527524.7227355947,0.08304286912736403
