address_key,query,latitude,longitude,x_svy21,y_svy21,matched_address,match_score,error
TAMPINES|922|TAMPINES ST 91,922 TAMPINES ST 91 SINGAPORE,1.347495105209108,103.9407627709637,39957.35432015639,36624.94211452082,922 TAMPINES STREET 91 TAMPINES PALMSPRING SINGAPORE 520922,3.0,
TAMPINES|712|TAMPINES ST 71,712 TAMPINES ST 71 SINGAPORE,1.358944781674743,103.9371608537721,39556.44600730203,37890.97360040993,712 TAMPINES STREET 71 TAMPINES STARLIGHT SINGAPORE 520712,3.0,
TAMPINES|160|SIMEI RD,160 SIMEI RD SINGAPORE,1.345170371078733,103.9596759126668,42062.19502314553,36367.98524489254,160 SIMEI ROAD SINGAPORE 520160,3.0,
TAMPINES|706|TAMPINES ST 71,706 TAMPINES ST 71 SINGAPORE,1.357503856983974,103.9375597465255,39600.84508350492,37731.645143684,706 TAMPINES STREET 71 TAMPINES SUNRISE SINGAPORE 520706,3.0,
TAMPINES|321|TAMPINES ST 33,321 TAMPINES ST 33 SINGAPORE,1.35069890623764,103.9575156880378,41821.7539999038,36979.2915186584,321 TAMPINES STREET 33 SINGAPORE 520321,3.0,
TAMPINES|234|SIMEI ST 4,234 SIMEI ST 4 SINGAPORE,1.343465123399796,103.955448165902,41591.70155403204,36179.40329645947,234 SIMEI STREET 4 SINGAPORE 520234,3.0,
TAMPINES|256|TAMPINES ST 21,256 TAMPINES ST 21 SINGAPORE,1.353235727085127,103.9499466148988,40979.38584300876,37259.75907490775,256 TAMPINES STREET 21 SINGAPORE 522256,3.0,
TAMPINES|165|SIMEI RD,165 SIMEI RD SINGAPORE,1.345530161200654,103.9592488041339,42014.66036543716,36407.76663749851,165 SIMEI ROAD SINGAPORE 520165,3.0,
TAMPINES|862|TAMPINES ST 83,862 TAMPINES ST 83 SINGAPORE,1.354684862417875,103.9365028879264,39483.24201091006,37419.92955667153,862 TAMPINES STREET 83 TAMPINES PARKVIEW SINGAPORE 520862,3.0,
TAMPINES|842B|TAMPINES ST 82,842B TAMPINES ST 82 SINGAPORE,1.351325619869773,103.9369210795012,39529.7978928294,37048.4830397889,842B TAMPINES STREET 82 TAMPINES ARCADIA SINGAPORE 522842,3.0,
TAMPINES|515B|TAMPINES CTRL 7,515B TAMPINES CTRL 7 SINGAPORE,1.356967819831796,103.9386677046898,39724.15082584042,37672.37813119963,515B TAMPINES CENTRAL 7 THE PREMIERE @ TAMPINES SINGAPORE 522515,3.0,
TAMPINES|168C|SIMEI LANE,168C SIMEI LANE SINGAPORE,1.342477098906682,103.9585390535623,41935.69004573487,36070.1697451137,168C SIMEI LANE PARC LUMIERE SINGAPORE 523168,6.0,
TAMPINES|168A|SIMEI LANE,168A SIMEI LANE SINGAPORE,1.342738696466732,103.9589763269713,41984.35245824885,36099.09843108803,168A SIMEI LANE PARC LUMIERE SINGAPORE 521168,6.0,
TAMPINES|495C|TAMPINES ST 43,495C TAMPINES ST 43 SINGAPORE,1.36323870680687,103.9516246793845,41166.0816420354,38365.84896552563,495C TAMPINES STREET 43 SINGAPORE 522495,3.0,
TAMPINES|124|TAMPINES ST 11,124 TAMPINES ST 11 SINGAPORE,1.345184289110755,103.9497933250937,40962.36900095455,36369.46952627786,124 TAMPINES STREET 11 SINGAPORE 521124,3.0,
TAMPINES|895|TAMPINES ST 81,895 TAMPINES ST 81 SINGAPORE,1.347782639028311,103.931593522645,38936.91571048275,36656.69310836867,895 TAMPINES STREET 81 TAMPINES GROVE SINGAPORE 520895,3.0,
TAMPINES|312|TAMPINES ST 33,312 TAMPINES ST 33 SINGAPORE,1.352570368206863,103.9572572998476,41792.9876713939,37186.2272459846,312 TAMPINES STREET 33 SINGAPORE 520312,3.0,
TAMPINES|937|TAMPINES AVE 5,937 TAMPINES AVE 5 SINGAPORE,1.34723955510921,103.9416374956224,40054.70290555153,36596.68894940801,937 TAMPINES AVENUE 5 TAMPINES PALMSPRING SINGAPORE 520937,3.0,
TAMPINES|857|TAMPINES ST 83,857 TAMPINES ST 83 SINGAPORE,1.354303068383976,103.9359001020498,39416.16050119232,37377.70980556496,857 TAMPINES STREET 83 TAMPINES PARKVIEW SINGAPORE 520857,3.0,
TAMPINES|941|TAMPINES AVE 5,941 TAMPINES AVE 5 SINGAPORE,1.349435712320652,103.9407347603396,39954.22757690214,36839.52477552183,941 TAMPINES AVENUE 5 TAMPINES PALMSVILLE SINGAPORE 520941,3.0,
TAMPINES|943|TAMPINES AVE 5,943 TAMPINES AVE 5 SINGAPORE,1.350178190188197,103.9411935489173,40005.28206816968,36921.62659055181,943 TAMPINES AVENUE 5 TAMPINES PALMSVILLE SINGAPORE 520943,3.0,
TOA PAYOH|51|LOR 6 TOA PAYOH,51 LOR 6 TOA PAYOH SINGAPORE,1.337783376484396,103.8525074558546,30135.51770262979,35550.81358023919,51 LORONG 6 TOA PAYOH EAST PAYOH PALM SINGAPORE 310051,3.0,
TOA PAYOH|195|KIM KEAT AVE,195 KIM KEAT AVE SINGAPORE,1.330081022229912,103.8583546041119,30786.25174815022,34699.13247931004,195 KIM KEAT AVENUE ADVENTIST HOME FOR THE ELDERS SINGAPORE 310195,4.5,
TOA PAYOH|3|UPP ALJUNIED LANE,3 UPP ALJUNIED LANE SINGAPORE,1.333992974983629,103.879892742452,33183.21696461923,35131.73106843606,3 UPPER ALJUNIED LANE JOO SENG GREEN SINGAPORE 360003,3.0,
TOA PAYOH|225|LOR 8 TOA PAYOH,225 LOR 8 TOA PAYOH SINGAPORE,1.339509223025749,103.8556467972892,30484.89126211964,35741.6518252492,225 LORONG 8 TOA PAYOH NKF DIALYSIS CENTRE TOA PAYOH SINGAPORE 310225,3.0,
