flat_type,count,pct,flat_type_median_price,flat_type_mean_price
4 ROOM,95107,0.42543949899351374,500000.0,529593.6329310145
5 ROOM,55088,0.24642361887720868,600000.0,625417.24123693
3 ROOM,52510,0.23489152314918363,358000.0,373005.619397829
EXECUTIVE,16202,0.07247595616193245,718000.0,734417.0434273547
2 ROOM,4476,0.020022366360993065,306500.0,303188.06970509386
MULTI-GENERATION,85,0.00038022813688212925,842000.0,859597.9764705882
1 ROOM,82,0.0003668083202862894,205000.0,211986.9756097561
