,resale_price,malls_within_10min_walk,school_count_1km,good_school_count_1km,school_count_2km,good_school_count_2km,floor_area_sqm,nearest_mall_walking_distance_m,nearest_mrt_walking_distance_m
resale_price,1.0,0.04182815308845447,-0.07544897877014951,-0.006091886970593205,-0.02394634577163109,-0.006040306589273329,0.5721822668899939,-0.0450082377525486,-0.10396636447309522
malls_within_10min_walk,0.04182815308845447,1.0,0.2605137279794575,0.01053090253291631,0.061210080624409816,-0.035044924148119105,0.08431423421922649,-0.6405470982341984,-0.2877681740978182
school_count_1km,-0.07544897877014951,0.2605137279794575,1.0,0.4691071658177618,0.7151013987910972,0.4480502936151804,0.11926167483149484,-0.3472375569161731,-0.2911716224224526
good_school_count_1km,-0.006091886970593205,0.01053090253291631,0.4691071658177618,1.0,0.3467176267407725,0.5395323546102415,0.0698823274198418,-0.14136183392815257,0.09360309881317698
school_count_2km,-0.02394634577163109,0.061210080624409816,0.7151013987910972,0.3467176267407725,1.0,0.6734186853818706,0.08501592269448648,-0.23953026062437086,-0.24632981643567226
good_school_count_2km,-0.006040306589273329,-0.035044924148119105,0.4480502936151804,0.5395323546102415,0.6734186853818706,1.0,0.043223572921966165,-0.1217107479988515,0.021616341837945988
floor_area_sqm,0.5721822668899939,0.08431423421922649,0.11926167483149484,0.0698823274198418,0.08501592269448648,0.043223572921966165,1.0,-0.09536198459074488,0.03126689471992628
nearest_mall_walking_distance_m,-0.0450082377525486,-0.6405470982341984,-0.3472375569161731,-0.14136183392815257,-0.23953026062437086,-0.1217107479988515,-0.09536198459074488,1.0,0.27755352865669514
nearest_mrt_walking_distance_m,-0.10396636447309522,-0.2877681740978182,-0.2911716224224526,0.09360309881317698,-0.24632981643567226,0.021616341837945988,0.03126689471992628,0.27755352865669514,1.0
