mrt_unique_lines_within_10min_walk,count,mean_price,median_price,pct
0,50086,494812.1136425349,470000.0,0.224048311339745
1,112616,519693.40132183704,485000.0,0.5037620219190337
2,53273,558293.1799207854,530000.0,0.23830462983672557
3,6652,609473.3231419122,550000.0,0.029756206665175575
4,648,798234.4197530864,830000.0,0.002898680384701409
5,275,479049.36,458000.0,0.0012301498546186534
