column,count,mean,median,std,min,p25,p75,max
floor_area_sqm,223550,96.9418805636323,93.0,23.96528607152512,31.0,82.0,112.0,366.7
nearest_mall_walking_distance_m,223550,666.5322309262895,594.5276960407433,378.89401673594574,2.4374458007514477e-10,385.6711305719261,876.9159060369182,3222.671837635897
nearest_mrt_walking_distance_m,223550,568.3034616812331,496.83132137961366,367.2742560986914,14.632192200944075,286.9158354350276,766.4990462725358,3524.753835016372
