Name,Vacancies,Phase_1,Phase_1_notes,Phase_2A,Phase_2A_Ratio,Phase_2A_Balloting,Phase_2A_Balloting_ratio,Phase_2B,Phase_2B_ratio,Phase_2B_Balloting,Phase_2B_Balloting_ratio,Phase_2C,Phase_2C_ratio,Phase_2C_Balloting,Phase_2C_Balloting_ratio,Phase_2C_sup,Phase_2C_sup_ratio,Phase_2C_sup_Balloting,Phase_2C_sup_Balloting_ratio
Teck Ghee Primary School,210,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,12/92,No,N/A,All applicants were successful,3/47,No,N/A,All applicants were successful,76/137,No,N/A,All applicants were successful,62/63,No,N/A
Teck Whye Primary School,210,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,22/105,No,N/A,All applicants were successful,0/48,No,N/A,All applicants were successful,23/144,No,N/A,All applicants were successful,56/121,No,N/A
Telok Kurau Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,29/119,No,N/A,All applicants were successful,0/50,No,N/A,All applicants were successful,63/150,No,N/A,All applicants were successful,71/87,No,N/A
Temasek Primary School,200,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,122/44,Yes,74/44,All applicants were successful,10/20,No,N/A,There were more applicants than vacancies,103/50,Yes,74/50,No registration was conducted,N/A,N/A,N/A
Unity Primary School,210,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,12/95,No,N/A,All applicants were successful,0/48,No,N/A,All applicants were successful,54/143,No,N/A,All applicants were successful,7/90,No,N/A
Valour Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,52/51,Yes,8/7,All applicants were successful,3/20,No,N/A,There were more applicants than vacancies,88/57,Yes,84/57,No registration was conducted,N/A,N/A,N/A
Waterway Primary School,210,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,74/38,Yes,63/38,All applicants were successful,0/20,No,N/A,There were more applicants than vacancies,102/60,Yes,90/60,No registration was conducted,N/A,N/A,N/A
Wellington Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,87/77,Yes,21/18,There were more applicants than vacancies,21/20,No,N/A,There were more applicants than vacancies,104/40,Yes,79/40,No registration was conducted,N/A,N/A,N/A
West Grove Primary School,210,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,6/83,No,N/A,All applicants were successful,0/46,No,N/A,All applicants were successful,41/137,No,N/A,All applicants were successful,47/96,No,N/A
West Spring Primary School,210,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,60/62,No,N/A,All applicants were successful,1/21,No,N/A,All applicants were successful,40/63,No,N/A,All applicants were successful,10/23,No,N/A
West View Primary School,150,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,38/39,No,N/A,All applicants were successful,0/20,No,N/A,All applicants were successful,32/61,No,N/A,All applicants were successful,13/29,No,N/A
Westwood Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,89/75,Yes,7/5,All applicants were successful,7/20,No,N/A,There were more applicants than vacancies,76/53,Yes,58/53,No registration was conducted,N/A,N/A,N/A
White Sands Primary School,180,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,17/61,No,N/A,All applicants were successful,2/35,No,N/A,All applicants were successful,79/102,No,N/A,All applicants were successful,20/23,No,N/A
Woodgrove Primary School,180,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,18/60,No,N/A,All applicants were successful,5/34,No,N/A,All applicants were successful,87/98,No,N/A,All applicants were successful,8/11,No,N/A
Woodlands Primary School,210,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,22/59,No,N/A,All applicants were successful,8/32,No,N/A,All applicants were successful,87/90,No,N/A,There were more applicants than vacancies,9/3,Yes,6/3
Woodlands Ring Primary School,180,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,10/53,No,N/A,All applicants were successful,0/34,No,N/A,All applicants were successful,50/103,No,N/A,All applicants were successful,4/53,No,N/A
Xinghua Primary School,180,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,7/87,No,N/A,All applicants were successful,0/47,No,N/A,All applicants were successful,45/140,No,N/A,All applicants were successful,71/96,No,N/A
Xingnan Primary School,180,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,17/54,No,N/A,All applicants were successful,0/32,No,N/A,All applicants were successful,47/97,No,N/A,All applicants were successful,16/51,No,N/A
Xinmin Primary School,210,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,49/60,No,N/A,All applicants were successful,19/24,No,N/A,There were more applicants than vacancies,87/53,Yes,76/53,No registration was conducted,N/A,N/A,N/A
Xishan Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,15/102,No,N/A,All applicants were successful,1/49,No,N/A,All applicants were successful,66/146,No,N/A,There were more applicants than vacancies,110/80,Yes,42/18
Yangzheng Primary School,160,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,92/36,Yes,51/36,All applicants were successful,14/20,No,N/A,There were more applicants than vacancies,98/47,Yes,65/47,No registration was conducted,N/A,N/A,N/A
Yew Tee Primary School,210,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,7/92,No,N/A,All applicants were successful,1/48,No,N/A,All applicants were successful,68/144,No,N/A,All applicants were successful,51/76,No,N/A
Yio Chu Kang Primary School,180,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,9/58,No,N/A,All applicants were successful,0/37,No,N/A,All applicants were successful,22/110,No,N/A,All applicants were successful,66/88,No,N/A
Yishun Primary School,220,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,33/94,No,N/A,All applicants were successful,0/40,No,N/A,All applicants were successful,50/122,No,N/A,There were more applicants than vacancies,77/72,No,N/A
Yu Neng Primary School,180,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,60/39,Yes,21/1,All applicants were successful,16/20,No,N/A,There were more applicants than vacancies,60/44,Yes,47/44,No registration was conducted,N/A,N/A,N/A
Yuhua Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,17/132,No,N/A,All applicants were successful,1/58,No,N/A,All applicants were successful,26/174,No,N/A,All applicants were successful,17/148,No,N/A
Yumin Primary School,280,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,9/149,No,N/A,All applicants were successful,0/67,No,N/A,All applicants were successful,10/201,No,N/A,All applicants were successful,74/191,No,N/A
Zhangde Primary School,150,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,13/38,No,N/A,All applicants were successful,0/29,No,N/A,All applicants were successful,74/87,No,N/A,There were more applicants than vacancies,19/13,Yes,6/5
Zhenghua Primary School,210,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,69/67,Yes,3/1,All applicants were successful,0/20,No,N/A,All applicants were successful,50/62,No,N/A,All applicants were successful,8/12,No,N/A
Zhonghua Primary School,150,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,2/75,No,N/A,All applicants were successful,0/44,No,N/A,All applicants were successful,8/133,No,N/A,All applicants were successful,36/125,No,N/A
