Name,Vacancies,Phase_1,Phase_1_notes,Phase_2A,Phase_2A_Ratio,Phase_2A_Balloting,Phase_2A_Balloting_ratio,Phase_2B,Phase_2B_ratio,Phase_2B_Balloting,Phase_2B_Balloting_ratio,Phase_2C,Phase_2C_ratio,Phase_2C_Balloting,Phase_2C_Balloting_ratio,Phase_2C_sup,Phase_2C_sup_ratio,Phase_2C_sup_Balloting,Phase_2C_sup_Balloting_ratio
Gan Eng Seng Primary School,150,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,7/62,No,N/A,All applicants were successful,0/39,No,N/A,All applicants were successful,17/116,No,N/A,All applicants were successful,8/100,No,N/A
Geylang Methodist School (Primary),270,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,31/113,No,N/A,All applicants were successful,4/47,No,N/A,All applicants were successful,138/138,No,N/A,No registration was conducted,N/A,N/A,N/A
Gongshang Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,203/67,Yes,124/67,All applicants were successful,17/20,No,N/A,There were more applicants than vacancies,117/44,Yes,106/44,No registration was conducted,N/A,N/A,N/A
Greendale Primary School,210,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,18/86,No,N/A,All applicants were successful,0/43,No,N/A,All applicants were successful,24/128,No,N/A,All applicants were successful,31/104,No,N/A
Greenridge Primary School,150,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,14/41,No,N/A,All applicants were successful,1/29,No,N/A,All applicants were successful,27/87,No,N/A,All applicants were successful,5/60,No,N/A
Greenwood Primary School,210,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,10/41,No,N/A,All applicants were successful,0/30,No,N/A,All applicants were successful,75/91,No,N/A,There were more applicants than vacancies,22/16,No,N/A
Haig Girls' School,190,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,23/79,No,N/A,All applicants were successful,20/39,No,N/A,All applicants were successful,83/98,No,N/A,There were more applicants than vacancies,29/15,Yes,16/9
Henry Park Primary School,300,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,99/131,No,N/A,All applicants were successful,31/31,No,N/A,There were more applicants than vacancies,93/63,Yes,76/63,No registration was conducted,N/A,N/A,N/A
Holy Innocents' Primary School,270,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,102/107,No,N/A,There were more applicants than vacancies,44/22,Yes,36/22,There were more applicants than vacancies,110/45,Yes,96/45,No registration was conducted,N/A,N/A,N/A
Hong Wen School,210,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,38/62,No,N/A,All applicants were successful,23/28,No,N/A,There were more applicants than vacancies,153/62,Yes,137/62,No registration was conducted,N/A,N/A,N/A
Horizon Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,87/86,Yes,7/6,All applicants were successful,11/20,No,N/A,There were more applicants than vacancies,79/50,Yes,74/50,No registration was conducted,N/A,N/A,N/A
Hougang Primary School,190,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,13/66,No,N/A,All applicants were successful,16/38,No,N/A,There were more applicants than vacancies,115/98,No,N/A,No registration was conducted,N/A,N/A,N/A
Huamin Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,83/67,Yes,76/67,All applicants were successful,2/20,No,N/A,There were more applicants than vacancies,86/58,Yes,73/58,No registration was conducted,N/A,N/A,N/A
Innova Primary School,180,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,10/59,No,N/A,All applicants were successful,4/36,No,N/A,All applicants were successful,77/105,No,N/A,All applicants were successful,8/28,No,N/A
Jiemin Primary School,190,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,14/55,No,N/A,All applicants were successful,0/34,No,N/A,All applicants were successful,38/101,No,N/A,All applicants were successful,23/63,No,N/A
Jing Shan Primary School,150,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,48/46,Yes,3/1,All applicants were successful,0/20,No,N/A,All applicants were successful,50/60,No,N/A,All applicants were successful,9/10,No,N/A
Junyuan Primary School,280,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,96/120,No,N/A,All applicants were successful,0/28,No,N/A,There were more applicants than vacancies,91/85,Yes,4/1,No registration was conducted,N/A,N/A,N/A
Jurong Primary School,220,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,21/82,No,N/A,All applicants were successful,0/40,No,N/A,All applicants were successful,48/121,No,N/A,All applicants were successful,39/73,No,N/A
Jurong West Primary School,180,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,59/48,Yes,3/1,All applicants were successful,1/20,No,N/A,There were more applicants than vacancies,77/59,Yes,21/5,No registration was conducted,N/A,N/A,N/A
Keming Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,58/96,No,N/A,All applicants were successful,21/33,No,N/A,There were more applicants than vacancies,125/77,Yes,110/77,No registration was conducted,N/A,N/A,N/A
Kheng Cheng School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,12/113,No,N/A,All applicants were successful,1/54,No,N/A,There were more applicants than vacancies,173/162,Yes,17/10,No registration was conducted,N/A,N/A,N/A
Kong Hwa School,270,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,84/97,No,N/A,There were more applicants than vacancies,49/24,Yes,44/24,There were more applicants than vacancies,118/49,Yes,112/49,No registration was conducted,N/A,N/A,N/A
Kuo Chuan Presbyterian Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,50/78,No,N/A,There were more applicants than vacancies,32/30,No,N/A,There were more applicants than vacancies,113/59,Yes,94/59,No registration was conducted,N/A,N/A,N/A
Lakeside Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,21/92,No,N/A,All applicants were successful,1/44,No,N/A,All applicants were successful,97/130,No,N/A,There were more applicants than vacancies,42/33,Yes,10/5
Lianhua Primary School,320,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,15/197,No,N/A,All applicants were successful,0/81,No,N/A,All applicants were successful,26/242,No,N/A,All applicants were successful,42/216,No,N/A
Maha Bodhi School,330,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,121/131,No,N/A,There were more applicants than vacancies,46/23,Yes,19/3,There were more applicants than vacancies,125/49,Yes,98/49,No registration was conducted,N/A,N/A,N/A
Maris Stella High School (Primary),270,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,100/132,No,N/A,There were more applicants than vacancies,53/31,Yes,44/31,There were more applicants than vacancies,124/62,Yes,115/62,No registration was conducted,N/A,N/A,N/A
Marsiling Primary School,180,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,10/54,No,N/A,All applicants were successful,0/35,No,N/A,All applicants were successful,99/104,No,N/A,There were more applicants than vacancies,8/5,Yes,3/1
Marymount Convent School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,7/156,No,N/A,All applicants were successful,3/70,No,N/A,All applicants were successful,55/206,No,N/A,All applicants were successful,138/151,No,N/A
Mayflower Primary School,150,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,25/56,No,N/A,All applicants were successful,0/30,No,N/A,All applicants were successful,26/91,No,N/A,All applicants were successful,37/66,No,N/A
Mee Toh School,300,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,28/124,No,N/A,All applicants were successful,37/52,No,N/A,There were more applicants than vacancies,153/119,Yes,142/119,No registration was conducted,N/A,N/A,N/A
Meridian Primary School,220,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,29/113,No,N/A,All applicants were successful,0/48,No,N/A,All applicants were successful,29/146,No,N/A,All applicants were successful,12/117,No,N/A
Methodist Girls' School (Primary),210,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,88/95,No,N/A,There were more applicants than vacancies,54/22,Yes,35/22,There were more applicants than vacancies,78/45,Yes,54/45,No registration was conducted,N/A,N/A,N/A
Montfort Junior School,150,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,6/68,No,N/A,All applicants were successful,5/41,No,N/A,All applicants were successful,11/118,No,N/A,All applicants were successful,26/107,No,N/A
Nan Chiau Primary School,300,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,38/105,No,N/A,There were more applicants than vacancies,102/42,Yes,99/42,There were more applicants than vacancies,269/85,Yes,259/85,No registration was conducted,N/A,N/A,N/A
Nan Hua Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,102/61,Yes,13/4,There were more applicants than vacancies,40/21,Yes,40/21,There were more applicants than vacancies,166/41,Yes,159/41,No registration was conducted,N/A,N/A,N/A
Nanyang Primary School,390,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,177/144,Yes,64/31,There were more applicants than vacancies,53/20,Yes,53/20,There were more applicants than vacancies,63/42,Yes,60/42,No registration was conducted,N/A,N/A,N/A
Naval Base Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,59/56,Yes,2/1,All applicants were successful,1/20,No,N/A,There were more applicants than vacancies,64/60,Yes,5/2,No registration was conducted,N/A,N/A,N/A
New Town Primary School,210,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,3/122,No,N/A,All applicants were successful,1/60,No,N/A,All applicants were successful,21/178,No,N/A,All applicants were successful,41/157,No,N/A
Ngee Ann Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,27/94,No,N/A,All applicants were successful,2/42,No,N/A,There were more applicants than vacancies,148/127,Yes,16/5,No registration was conducted,N/A,N/A,N/A
North Spring Primary School,180,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,11/71,No,N/A,All applicants were successful,0/40,No,N/A,All applicants were successful,41/120,No,N/A,All applicants were successful,25/79,No,N/A
North View Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,74/71,No,N/A,All applicants were successful,1/20,No,N/A,There were more applicants than vacancies,109/60,Yes,101/60,No registration was conducted,N/A,N/A,N/A
North Vista Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,32/108,No,N/A,All applicants were successful,0/45,No,N/A,All applicants were successful,35/136,No,N/A,All applicants were successful,34/101,No,N/A
Northland Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,76/70,Yes,18/12,There were more applicants than vacancies,29/20,Yes,28/20,There were more applicants than vacancies,142/41,Yes,127/41,No registration was conducted,N/A,N/A,N/A
Northoaks Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,11/152,No,N/A,All applicants were successful,0/67,No,N/A,All applicants were successful,10/201,No,N/A,All applicants were successful,7/191,No,N/A
Northshore Primary School,280,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,59/86,No,N/A,All applicants were successful,1/29,No,N/A,There were more applicants than vacancies,128/86,Yes,128/86,No registration was conducted,N/A,N/A,N/A
Oasis Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,35/80,No,N/A,All applicants were successful,0/35,No,N/A,All applicants were successful,59/105,No,N/A,There were more applicants than vacancies,52/46,Yes,19/16
Opera Estate Primary School,180,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,14/58,No,N/A,All applicants were successful,0/35,No,N/A,All applicants were successful,83/104,No,N/A,There were more applicants than vacancies,36/21,Yes,13/12
Palm View Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,1/106,No,N/A,All applicants were successful,0/55,No,N/A,All applicants were successful,84/165,No,N/A,All applicants were successful,59/82,No,N/A
Park View Primary School,190,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,10/60,No,N/A,All applicants were successful,0/37,No,N/A,All applicants were successful,42/110,No,N/A,All applicants were successful,46/68,No,N/A
Pasir Ris Primary School,180,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,47/42,No,N/A,All applicants were successful,19/20,No,N/A,There were more applicants than vacancies,59/41,Yes,47/41,No registration was conducted,N/A,N/A,N/A
Paya Lebar Methodist Girls' School (Primary),270,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,64/135,No,N/A,There were more applicants than vacancies,46/44,Yes,20/19,There were more applicants than vacancies,110/89,Yes,24/4,No registration was conducted,N/A,N/A,N/A
Pei Chun Public School,300,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,119/111,Yes,50/42,There were more applicants than vacancies,32/21,Yes,32/21,There were more applicants than vacancies,94/45,Yes,94/45,No registration was conducted,N/A,N/A,N/A
Pei Hwa Presbyterian Primary School,224,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,120/53,Yes,56/53,There were more applicants than vacancies,51/20,Yes,35/20,There were more applicants than vacancies,84/41,Yes,69/41,No registration was conducted,N/A,N/A,N/A
Pei Tong Primary School,320,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,28/186,No,N/A,All applicants were successful,0/73,No,N/A,All applicants were successful,30/220,No,N/A,All applicants were successful,37/190,No,N/A
Peiying Primary School,200,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,21/66,No,N/A,All applicants were successful,0/35,No,N/A,All applicants were successful,53/105,No,N/A,There were more applicants than vacancies,67/52,No,N/A
Pioneer Primary School,350,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,12/290,No,N/A,All applicants were successful,6/113,No,N/A,All applicants were successful,194/332,No,N/A,All applicants were successful,73/140,No,N/A
Poi Ching School,280,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,25/105,No,N/A,All applicants were successful,42/47,No,N/A,There were more applicants than vacancies,212/99,Yes,200/99,No registration was conducted,N/A,N/A,N/A
Princess Elizabeth Primary School,200,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,145/52,Yes,110/52,There were more applicants than vacancies,28/20,Yes,22/20,There were more applicants than vacancies,232/41,Yes,193/41,No registration was conducted,N/A,N/A,N/A
Punggol Cove Primary School,280,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,36/101,No,N/A,All applicants were successful,0/42,No,N/A,All applicants were successful,26/126,No,N/A,All applicants were successful,67/101,No,N/A
Punggol Green Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,76/63,Yes,72/63,All applicants were successful,3/20,No,N/A,There were more applicants than vacancies,118/58,Yes,114/58,No registration was conducted,N/A,N/A,N/A
Punggol Primary School,190,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,61/60,Yes,6/5,All applicants were successful,3/20,No,N/A,There were more applicants than vacancies,75/59,No,N/A,No registration was conducted,N/A,N/A,N/A
Punggol View Primary School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,71/88,No,N/A,All applicants were successful,0/26,No,N/A,All applicants were successful,56/77,No,N/A,There were more applicants than vacancies,47/21,Yes,28/21
Qifa Primary School,280,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,37/118,No,N/A,All applicants were successful,12/47,No,N/A,There were more applicants than vacancies,148/131,Yes,11/9,No registration was conducted,N/A,N/A,N/A
Qihua Primary School,180,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,17/69,No,N/A,All applicants were successful,0/37,No,N/A,All applicants were successful,52/112,No,N/A,All applicants were successful,1/61,No,N/A
Queenstown Primary School,210,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,17/61,No,N/A,All applicants were successful,0/35,No,N/A,There were more applicants than vacancies,115/105,Yes,12/8,No registration was conducted,N/A,N/A,N/A
Radin Mas Primary School,200,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,54/63,No,N/A,All applicants were successful,22/23,No,N/A,There were more applicants than vacancies,96/47,Yes,56/47,No registration was conducted,N/A,N/A,N/A
Raffles Girls' Primary School,270,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,64/150,No,N/A,All applicants were successful,31/49,No,N/A,There were more applicants than vacancies,143/115,Yes,36/17,No registration was conducted,N/A,N/A,N/A
Red Swastika School,240,All eligible applicants were offered a place.,All eligible applicants were offered a place.,There were more applicants than vacancies,110/95,Yes,42/27,There were more applicants than vacancies,42/20,Yes,38/20,There were more applicants than vacancies,93/41,Yes,87/41,No registration was conducted,N/A,N/A,N/A
River Valley Primary School,210,All eligible applicants were offered a place.,All eligible applicants were offered a place.,All applicants were successful,34/79,No,N/A,All applicants were successful,14/35,No,N/A,All applicants were successful,94/94,No,N/A,No registration was conducted,N/A,N/A,N/A
