blk_no,postal_code,entity_id,latitude,longitude,park_name,park_object_id,park_latitude,park_longitude,euclidean_distance_to_nearest_park_km,nearest_park_estimated_walking_km,walking_time_to_nearest_park_mins
208B,122208,10220,1.32262089131768,103.76244687517259,FABER HEIGHTS OPEN SPACE,67383,1.322552639890164,103.7576085677288,0.5385,0.6462,8.08
238,650238,197,1.350004530623835,103.75461829880709,BUKIT BATOK TOWN PARK,67513,1.3573543336113614,103.75607205285507,0.834,1.0008,12.51
88,370088,7907,1.3235529366461696,103.88589179838995,GEYLANG EAST PK,67300,1.3217717845209322,103.88765907111089,0.2793,0.3351,4.19
44A,441044,8060,1.3051314811307628,103.91314038589518,EAST COAST PARK AREA C,67405,1.3003516412775216,103.9124608129566,0.5374,0.6449,8.06
671B,642671,4718,1.3440059055328157,103.70189779571486,WESTWOOD PARK PLAYGROUND,67380,1.3518026478484713,103.70105312473154,0.873,1.0476,13.1
304C,543304,5915,1.388280557278771,103.88929609020389,MUGLISTON PK PG,67428,1.3854458918400063,103.87790631675026,1.3062,1.5675,19.59
115,560115,11052243,1.3729415875901176,103.83642975831881,ELLINGTON SQUARE PLAYGROUND,67352,1.3720023089670559,103.83453036042759,0.2358,0.283,3.54
858,760858,10196,1.4176271774430937,103.83850131164306,YISHUN PK,67408,1.4243757202843608,103.84260969126039,0.8794,1.0553,13.19
863,760863,10224,1.4169754921813233,103.83863144508996,YISHUN PK,67408,1.4243757202843608,103.84260969126039,0.9352,1.1223,14.03
308,650308,3707,1.3585145564826284,103.74809396764655,BUKIT BATOK TOWN PARK,67513,1.3573543336113614,103.75607205285507,0.8972,1.0767,13.46
229,680229,10762,1.3806706892646863,103.74637540602195,CHOA CHU KANG PK,67631,1.3862657900588096,103.74745761156976,0.6344,0.7613,9.52
255,310255,5291,1.3315620212484127,103.85774411897286,MAR THOMA ROAD PARK,67574,1.3273571946335365,103.86202838719863,0.6682,0.8018,10.02
918,640918,122,1.3406794232264247,103.68720161716924,YUNNAN PARK,67363,1.3374845229127315,103.6929015341445,0.7272,0.8727,10.91
305,760305,1628,1.4309916681347605,103.83959587522556,YISHUN POND PK,67581,1.4280122121948617,103.83948703941307,0.3319,0.3983,4.98
