blk_no,postal_code,entity_id,latitude,longitude,supermarket_name,supermarket_blk_house,supermarket_street,supermarket_postcode,supermarket_latitude,supermarket_longitude,euclidean_distance_to_nearest_supermarket_km,nearest_supermarket_estimated_walking_km,walking_time_to_nearest_supermarket_mins
405,550405,10188,1.3476680501753604,103.87280380051621,COLD STORAGE SINGAPORE (1983) PTE LTD,23,SERANGOON CENTRAL,556083,1.35067551423916,103.871861623795,0.3508,0.421,5.26
30,270030,4871,1.3077360213905045,103.79672365338949,TASTE (SINGAPORE) PRIVATE LIMITED,118,HOLLAND AVENUE,278997,1.31052978656723,103.796105205941,0.3185,0.3822,4.78
99A,310099,5071,1.338787260349869,103.8468557692047,NTUC FAIRPRICE CO-OPERATIVE LTD,95,LORONG 4 TOA PAYOH,310095,1.33889072011391,103.848993319083,0.2382,0.2858,3.57
555B,512555,10639,1.3682474915785778,103.95229338289046,SHENG SIONG SUPERMARKET PTE LTD,527D,PASIR RIS STREET 51,514527,1.36968624846978,103.947922430563,0.5121,0.6145,7.68
450C,653450,10263,1.3520989949541706,103.74385641640805,SHENG SIONG SUPERMARKET PTE LTD,451,BUKIT BATOK WEST AVENUE 6,650451,1.35303824733614,103.743948448003,0.1051,0.1261,1.58
314,550314,3001,1.352933266474022,103.865551955951,TEO BOBBY,253,SERANGOON CENTRAL DRIVE,550253,1.35367102829776,103.870756830653,0.585,0.702,8.78
61A,142061,11054952,1.2938613613878507,103.81159354100369,NTUC FAIRPRICE CO-OPERATIVE LTD,57,DAWSON ROAD,142057,1.29270339832466,103.810958960395,0.147,0.1764,2.2
104B,752104,11050788,1.4502375099115135,103.83151018719151,SHENG SIONG SUPERMARKET PTE LTD,105,CANBERRA STREET,750105,1.44886402051704,103.832392856092,0.1817,0.2181,2.73
185D,544185,5038,1.393696631740793,103.90630175954546,NTUC FAIRPRICE CO-OPERATIVE LTD,11,RIVERVALE CRESCENT,545082,1.39219777362583,103.90447160757,0.2633,0.3159,3.95
138,670138,4377,1.3747207114042577,103.76986487386803,HAO MART PTE. LTD.,205,PETIR ROAD,670205,1.3734302528997,103.773924087036,0.474,0.5688,7.11
740,730740,11186,1.4446107392382244,103.79630027826227,COLD STORAGE SINGAPORE (1983) PTE LTD,768,WOODLANDS AVENUE 6,730768,1.44562289934866,103.798140996577,0.2338,0.2805,3.51
4,270004,7873,1.3132486962296335,103.78818590957914,COLD STORAGE SINGAPORE (1983) PTE LTD,21,GHIM MOH ROAD,270021,1.31008118565207,103.788532895746,0.3547,0.4257,5.32
245,510245,4745,1.3710423199955024,103.96289666742615,SHENG SIONG SUPERMARKET PTE LTD,258,PASIR RIS STREET 21,510258,1.36700053512078,103.964617780128,0.489,0.5868,7.34
678C,823678,9743,1.406284182923715,103.90949499252322,NTUC FAIRPRICE CO-OPERATIVE LTD,612,PUNGGOL DRIVE,820612,1.40461002768949,103.908665607626,0.208,0.2496,3.12
220B,512220,525,1.3700522366085601,103.96123892722949,COLD STORAGE SINGAPORE (1983) PTE LTD,440,PASIR RIS DRIVE 4,510440,1.36899800601439,103.958647646173,0.3113,0.3736,4.67
498K,529096,2502,1.3629431655008308,103.95675834527023,HAO MART PTE. LTD.,487B,TAMPINES STREET 45,521487,1.3599856700583,103.958247655538,0.3686,0.4423,5.53
307,520307,3263,1.352851250130216,103.95634215185437,SUZYAMEER FROZEN PTE. LTD.,201D,TAMPINES STREET 21,524201,1.35226231253931,103.95358649775,0.3136,0.3763,4.7
311A,541311,5706,1.3909683377999718,103.88415842801543,SHENG SIONG SUPERMARKET PTE LTD,417,FERNVALE LINK,790417,1.39158704139214,103.879872489529,0.4819,0.5783,7.23
684D,824684,11053040,1.40375761705993,103.91421746398215,THE SEAFOOD MARKET PLACE (BY SONG FISH) PTE. LTD.,681,PUNGGOL DRIVE,820681,1.40287845138627,103.913195747038,0.15,0.18,2.25
523A,731523,5444,1.4329144021077507,103.79392507798732,COLD STORAGE SINGAPORE (1983) PTE LTD,548,WOODLANDS DRIVE 44,730548,1.43084006633623,103.793416332651,0.2378,0.2853,3.57
230,530230,3627,1.3589198269162779,103.88834019966866,COLD STORAGE SINGAPORE (1983) PTE LTD,205,HOUGANG STREET 21,530205,1.35949663830554,103.885079928732,0.3685,0.4422,5.53
635,200635,9213,1.3065849784266776,103.85518867270599,SHENG SIONG SUPERMARKET PTE LTD,1,JALAN BERSEH,209037,1.30778510070706,103.857010987509,0.2429,0.2914,3.64
