boundary_school_name,premium_sgd,premium_pct,premium_p_value,inside_n,outside_n,inside_mean_price,outside_mean_price,price_diff_inside_minus_outside,floor_area_diff_inside_minus_outside,lease_age_diff_inside_minus_outside,remaining_lease_diff_inside_minus_outside,storey_mid_diff_inside_minus_outside,mrt_dist_diff_inside_minus_outside,mall_dist_diff_inside_minus_outside,bus_stop_dist_diff_inside_minus_outside,inside_top_town,inside_top_town_share,outside_top_town,outside_top_town_share,inside_top_flat_type,inside_top_flat_type_share,outside_top_flat_type,outside_top_flat_type_share
METHODIST GIRLS' SCHOOL (PRIMARY),-30278.84191,-0.030905856,0.574842004,82,80,1111043.5609756098,845097.436,265946.1249756098,30.84359756097561,0.5362804878048735,-0.3732977642276438,-0.30548780487804894,122.12088932523136,151.62525786825256,-11.863460365853655,BUKIT TIMAH,1.0,BUKIT TIMAH,1.0,EXECUTIVE,1.0,4 ROOM,0.4875
NORTHLAND PRIMARY SCHOOL,-13544.24446,-0.030219586,9.12e-05,987,975,439637.5126646403,456856.29743589746,-17218.78477125714,-0.9629771646793017,3.7321892292105048,-3.7054500818330496,0.03350011690437249,30.166693736300886,105.7546777744924,21.07466760190161,YISHUN,1.0,YISHUN,1.0,4 ROOM,0.6109422492401215,4 ROOM,0.4358974358974359
HOLY INNOCENTS' PRIMARY SCHOOL,-12779.68792,-0.02511203,0.007249972,502,619,501069.19322709163,515263.36187399033,-14194.168646898703,2.0905972233843357,4.100962869040799,-4.124161941356817,-0.4988446858768487,-156.7071881024823,-168.06640602442235,-4.872920466759766,HOUGANG,1.0,HOUGANG,1.0,4 ROOM,0.46215139442231074,4 ROOM,0.3667205169628433
AI TONG SCHOOL,-12607.09518,-0.022545344,0.046759327,331,428,554919.1873111782,562490.0724299066,-7570.885118728387,4.688115876556466,-1.9715037976113123,1.9542374895295183,-0.3627495270632748,178.15979133529459,24.09032337199642,-6.884847248496499,BISHAN,0.5347432024169184,ANG MO KIO,0.5070093457943925,4 ROOM,0.595166163141994,4 ROOM,0.4369158878504673
NAN CHIAU PRIMARY SCHOOL,-10679.64641,-0.018701015,0.00168139,970,1836,589330.5597938144,561427.2603485839,27903.299445230514,4.496791545942543,2.3151101677784514,-2.2622273880915458,-0.8536149855131043,-150.8990406543079,137.7185538208264,13.365960323877573,SENGKANG,0.8134020618556701,SENGKANG,0.7037037037037037,4 ROOM,0.5319587628865979,4 ROOM,0.5718954248366013
POI CHING SCHOOL,-10268.24423,-0.01812707,0.021322709,483,548,563619.6418219461,568961.7883211679,-5342.146499221795,-3.7209011500506364,-4.768244397092378,4.763228667643929,0.577186380740808,402.7870426708254,402.8293914815421,-23.514712185096215,TAMPINES,1.0,TAMPINES,1.0,3 ROOM,0.34782608695652173,3 ROOM,0.32299270072992703
RULANG PRIMARY SCHOOL,-8121.806757,-0.017697986,0.021628072,568,609,418965.20244718314,496168.1771428571,-77202.97469567397,-15.030189759245118,6.679765373852309,-6.604319162099031,-0.7884895580378828,-65.5100251255817,-37.34153405335269,-28.83429430028444,JURONG WEST,1.0,JURONG WEST,0.8423645320197044,4 ROOM,0.47183098591549294,4 ROOM,0.3793103448275862
RED SWASTIKA SCHOOL,-4738.949132,-0.010790441,0.182354692,612,756,448056.28594771243,431994.98148148146,16061.30446623097,0.4418767507002883,-2.4031279178337996,2.2732454092748213,0.2525676937441643,44.70789555878707,196.17684228877783,26.60591269841268,BEDOK,1.0,BEDOK,1.0,3 ROOM,0.5931372549019608,3 ROOM,0.6031746031746031
ST. HILDA'S PRIMARY SCHOOL,-4191.72127,-0.007453727,0.419179833,543,583,562429.0331491713,562306.9536878216,122.07946134964004,2.750272452451128,-4.887449497581883,4.828411288955451,0.30182045620386067,-93.17323064594552,-331.8407689654546,-12.851258840884611,TAMPINES,1.0,TAMPINES,1.0,4 ROOM,0.4622467771639042,4 ROOM,0.4922813036020583
CHIJ OUR LADY OF THE NATIVITY,-2819.68662,-0.005210574,0.44141876,761,1066,523245.08804204996,553926.9474671669,-30681.85942511697,1.906916198445316,2.743327999842215,-2.8559908089730897,-0.14338297835621638,-180.1042051355373,-97.87451536717663,3.4555175746339586,SENGKANG,0.6162943495400789,SENGKANG,0.5787992495309568,4 ROOM,0.6084099868593955,4 ROOM,0.6285178236397748
ST. ANTHONY'S PRIMARY SCHOOL,-26.1490215,-4.88e-05,0.993852686,364,416,537145.978021978,535102.6398798077,2043.338142170338,5.850618131868131,2.114697802197801,-2.097155448717942,-0.3420329670329654,-140.9315642953934,-219.78060400291895,13.554165521978021,CHOA CHU KANG,0.7142857142857143,CHOA CHU KANG,0.5673076923076923,4 ROOM,0.44505494505494503,4 ROOM,0.49759615384615385
